timestamp,packet_seq,packet_type,packet_size,send_time,ack_time,rtt_ms,instant_throughput_mbps,
2024-12-02-15:53:38,91,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:38,291.3321,0.281191,
2024-12-02-15:53:38,92,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:38,174.5834,0.469231,
2024-12-02-15:53:38,93,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:38,264.0426,0.310253,
2024-12-02-15:53:38,94,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:38,321.8514,0.254527,
2024-12-02-15:53:38,95,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:38,283.5395,0.288919,
2024-12-02-15:53:38,96,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:38,288.0109,0.284434,
2024-12-02-15:53:38,97,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:38,272.6419,0.300467,
2024-12-02-15:53:38,98,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:38,235.5247,0.347819,
2024-12-02-15:53:38,99,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:38,273.11,0.299952,
2024-12-02-15:53:38,100,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:38,276.5076,0.296267,
2024-12-02-15:53:38,101,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:39,292.0802,0.280471,
2024-12-02-15:53:38,102,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:39,282.4609,0.290022,
2024-12-02-15:53:38,103,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:39,213.1176,0.384389,
2024-12-02-15:53:38,104,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:39,186.509,0.439228,
2024-12-02-15:53:38,105,DATA,10240,2024-12-02-15:53:38,2024-12-02-15:53:39,271.4535,0.301783,
2024-12-02-15:53:39,106,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:39,215.3524,0.3804,
2024-12-02-15:53:39,107,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:39,247.8239,0.330557,
2024-12-02-15:53:39,108,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:39,461.3939,0.177549,
2024-12-02-15:53:39,109,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:39,650.6451,0.125906,
2024-12-02-15:53:39,110,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:39,552.3985,0.148299,
2024-12-02-15:53:39,111,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:39,569.1261,0.14394,
2024-12-02-15:53:39,112,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:39,542.7248,0.150942,
2024-12-02-15:53:39,113,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:39,564.0829,0.145227,
2024-12-02-15:53:39,114,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:39,113.045,0.724667,
2024-12-02-15:53:39,115,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:40,282.1622,0.290329,
2024-12-02-15:53:39,116,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:40,298.7963,0.274167,
2024-12-02-15:53:39,117,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:40,304.0984,0.269386,
2024-12-02-15:53:39,118,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:40,298.8569,0.274111,
2024-12-02-15:53:39,119,DATA,10240,2024-12-02-15:53:39,2024-12-02-15:53:40,278.2124,0.294451,
2024-12-02-15:53:40,120,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,214.9908,0.38104,
2024-12-02-15:53:40,121,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,259.4036,0.315801,
2024-12-02-15:53:40,122,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,266.4518,0.307448,
2024-12-02-15:53:40,123,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,284.9886,0.28745,
2024-12-02-15:53:40,124,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,292.653,0.279922,
2024-12-02-15:53:40,125,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,283.9357,0.288516,
2024-12-02-15:53:40,126,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,248.5143,0.329639,
2024-12-02-15:53:40,127,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,253.241,0.323486,
2024-12-02-15:53:40,128,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,202.9914,0.403564,
2024-12-02-15:53:40,129,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,230.5343,0.355348,
2024-12-02-15:53:40,130,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,177.175,0.462368,
2024-12-02-15:53:40,131,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:40,140.5632,0.582798,
2024-12-02-15:53:40,132,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:41,301.6999,0.271528,
2024-12-02-15:53:40,133,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:41,375.8319,0.21797,
2024-12-02-15:53:40,134,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:41,383.2193,0.213768,
2024-12-02-15:53:40,135,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:41,389.4567,0.210344,
2024-12-02-15:53:40,136,DATA,10240,2024-12-02-15:53:40,2024-12-02-15:53:41,643.1754,0.127368,
2024-12-02-15:53:41,137,DATA,10240,2024-12-02-15:53:41,2024-12-02-15:53:41,754.4603,0.108581,
2024-12-02-15:53:41,138,DATA,10240,2024-12-02-15:53:41,2024-12-02-15:53:41,614.3874,0.133336,
2024-12-02-15:53:41,139,DATA,10240,2024-12-02-15:53:41,2024-12-02-15:53:41,634.4213,0.129126,
2024-12-02-15:53:41,140,DATA,10240,2024-12-02-15:53:41,2024-12-02-15:53:41,606.097,0.13516,
2024-12-02-15:53:41,141,DATA,10240,2024-12-02-15:53:41,2024-12-02-15:53:41,626.7046,0.130715,
2024-12-02-15:53:41,142,DATA,10240,2024-12-02-15:53:41,2024-12-02-15:53:41,107.1284,0.76469,
2024-12-02-15:53:41,143,DATA,10240,2024-12-02-15:53:41,2024-12-02-15:53:42,112.4173,0.728713,
2024-12-02-15:53:41,144,DATA,10240,2024-12-02-15:53:41,2024-12-02-15:53:42,288.751,0.283705,
2024-12-02-15:53:41,145,DATA,10240,2024-12-02-15:53:41,2024-12-02-15:53:42,376.4268,0.217625,
2024-12-02-15:53:41,146,DATA,10240,2024-12-02-15:53:41,2024-12-02-15:53:42,384.8116,0.212883,
2024-12-02-15:53:42,147,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:42,365.5968,0.224072,
2024-12-02-15:53:42,148,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:42,424.1853,0.193123,
2024-12-02-15:53:42,149,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:42,328.9861,0.249007,
2024-12-02-15:53:42,150,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:42,322.4958,0.254019,
2024-12-02-15:53:42,151,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:42,330.9349,0.247541,
2024-12-02-15:53:42,152,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:42,375.1622,0.218359,
2024-12-02-15:53:42,153,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:42,339.4178,0.241354,
2024-12-02-15:53:42,154,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:42,291.8427,0.280699,
2024-12-02-15:53:42,155,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:43,318.0239,0.257591,
2024-12-02-15:53:42,156,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:43,323.881,0.252932,
2024-12-02-15:53:42,157,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:43,284.4492,0.287995,
2024-12-02-15:53:42,158,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:43,291.2521,0.281268,
2024-12-02-15:53:42,159,DATA,10240,2024-12-02-15:53:42,2024-12-02-15:53:43,318.233,0.257421,
2024-12-02-15:53:43,160,DATA,10240,2024-12-02-15:53:43,2024-12-02-15:53:43,248.941,0.329074,
